Chennai_ICMR	fastq	SRR8380857
Chennai_ICMR	fastq	SRR8380858
Chennai_ICMR	fastq	SRR8380859
Chennai_ICMR	fastq	SRR8380860
Chennai_ICMR	fastq	SRR8380861
Chennai_ICMR	fastq	SRR8380862
Chennai_ICMR	fastq	SRR8380863
Chennai_ICMR	fastq	SRR8380864
Chennai_ICMR	fastq	SRR8380865
Chennai_ICMR	fastq	SRR8380866
Chennai_ICMR	fastq	SRR8380867
Chennai_ICMR	fastq	SRR8380868
Chennai_ICMR	fastq	SRR8380869
Chennai_ICMR	fastq	SRR8380870
Chennai_ICMR	fastq	SRR8380871
Chennai_ICMR	fastq	SRR8380872
Chennai_ICMR	fastq	SRR8380873
Chennai_ICMR	fastq	SRR8380874
Chennai_ICMR	fastq	SRR8380875
Chennai_ICMR	fastq	SRR8380876
Chennai_ICMR	fastq	SRR8380877
Chennai_ICMR	fastq	SRR8380878
Chennai_ICMR	fastq	SRR8380879
Chennai_ICMR	fastq	SRR8380880
Chennai_ICMR	fastq	SRR8380881
Chennai_ICMR	fastq	SRR8380882
Chennai_ICMR	fastq	SRR8380883
Chennai_ICMR	fastq	SRR8380884
Chennai_ICMR	fastq	SRR8380885
Chennai_ICMR	fastq	SRR8380886
Chennai_ICMR	fastq	SRR8380887
Chennai_ICMR	fastq	SRR8380888
Chennai_ICMR	fastq	SRR8380889
Chennai_ICMR	fastq	SRR8380890
Chennai_ICMR	fastq	SRR8380891
Chennai_ICMR	fastq	SRR8380892
Chennai_ICMR	fastq	SRR8380893
Chennai_ICMR	fastq	SRR8380894
Chennai_ICMR	fastq	SRR8380895
Chennai_ICMR	fastq	SRR8380896
Chennai_ICMR	fastq	SRR8380897
Chennai_ICMR	fastq	SRR8380898
Chennai_ICMR	fastq	SRR8380899
Chennai_ICMR	fastq	SRR8380900
Chennai_ICMR	fastq	SRR8380901
Chennai_ICMR	fastq	SRR8380902
Chennai_ICMR	fastq	SRR8380903
Chennai_ICMR	fastq	SRR8380904
Chennai_ICMR	fastq	SRR8380905
Chennai_ICMR	fastq	SRR8380906
Chennai_ICMR	fastq	SRR8380907
Chennai_ICMR	fastq	SRR8380908
Chennai_ICMR	fastq	SRR8380909
Chennai_ICMR	fastq	SRR8380910
Chennai_ICMR	fastq	SRR8380911
Chennai_ICMR	fastq	SRR8380912
Chennai_ICMR	fastq	SRR8380913
Chennai_ICMR	fastq	SRR8380914
Chennai_ICMR	fastq	SRR8380915
Chennai_ICMR	fastq	SRR8380916
Chennai_ICMR	fastq	SRR8380917
Chennai_ICMR	fastq	SRR8380918
Chennai_ICMR	fastq	SRR8380919
Chennai_ICMR	fastq	SRR8380920
Chennai_ICMR	fastq	SRR8380921
Chennai_ICMR	fastq	SRR8380922
Chennai_ICMR	fastq	SRR8380923
Chennai_ICMR	fastq	SRR8380924
Chennai_ICMR	fastq	SRR8380925
