WGS4	904
WGS5	974
WGS6	748
WGS7	1287
WGS8	1138
WGS9	1121
WGS10	831
WGS11	954
WGS13	742
WGS14	886
WGS16	754
WGS17	753
WGS19	731
WGS20	560
WGS21	652
WGS22	868
WGS23	906
WGS24	1019
WGS25	990
WGS26	637
WGS27	695
WGS28	929
WGS29	931
WGS30	973
WGS31	795
WGS32	797
WGS33	783
WGS34	813
WGS35	861
WGS36	762
WGS37	808
WGS38	678
WGS39	39
WGS40	50
WGS42	665
WGS43	0
WGS44	651
WGS45	563
WGS46	874
WGS47	511
WGS48	627
WGS49	554
WGS50	467
WGS51	532
WGS52	498
WGS53	560
WGS54	589
WGS55	0
WGS56	519
WGS57	693
WGS58	422
WGS59	401
WGS60	418
WGS61	369
WGS62	338
WGS63	303
WGS64	402
WGS65	383
WGS66	531
WGS67	613
WGS68	569
WGS69	798
WGS70	655
WGS71	425
WGS72	352
WGS73	695
WGS74	459
WGS75	365
WGS76	561
WGS77	528
WGS78	377
WGS79	466
WGS80	576
WGS81	541
WGS82	673
WGS83	702
WGS84	401
WGS85	582
WGS86	322
WGS87	547
WGS88	642
WGS89	552
WGS90	488
WGS91	577
WGS92	546
WGS93	679
WGS94	278
WGS95	448
WGS96	710
WGS97	563
WGS98	535
WGS99	465
WGS100	624
WGS101	723
WGS102	226
WGS103	635
WGS104	656
WGS105	598
WGS106	713
WGS107	529
WGS108	380
WGS109	347
WGS110	342
WGS111	284
WGS112	431
WGS113	392
WGS114	25
WGS115	488
WGS116	374
WGS117	355
WGS118	125
WGS119	229
WGS120	387
WGS121	432
WGS122	522
WGS123	577
WGS124	458
WGS125	361
WGS126	384
WGS127	326
WGS128	436
WGS129	366
