Sample	Total Reads	Mapped Reads	Mapped Reads(%)	Properly Paired	Properly Paired(%)	Duplicate Reads	Read1	Read2	Singletons	Discordant Reads
WGS89_S46	5846718	5749424	98.34	5682804	98.84	0	2893821	2919435	12316	0
WGS8_S6	15783208	15629852	99.03	15478672	99.03	0	7831241	7876032	7313	0
WGS90_S47	6452919	5348303	82.88	5284760	98.81	0	3199221	3220841	11396	0
WGS91_S48	5713161	5586414	97.78	5520336	98.82	0	2826904	2851200	11699	0
WGS92_S49	5793362	5684478	98.12	5620578	98.88	0	2868918	2892176	11638	0
WGS93_S50	6965396	6734367	96.68	6650910	98.76	0	3447624	3476298	12147	0
WGS94_S51	9041301	3664633	40.53	3620620	98.8	0	4504440	4517048	10398	0
WGS95_S52	6254401	5943501	95.03	5871102	98.78	0	3098447	3121632	11027	0
WGS96_S53	5696619	5585746	98.05	5511776	98.68	0	2815078	2841635	12824	0
WGS97_S54	6182103	5996848	97.0	5931486	98.91	0	3061813	3086696	11748	0
WGS98_S55	5556361	5341842	96.14	5277570	98.8	0	2750937	2772669	11921	0
WGS99_S56	7093067	6928304	97.68	6848824	98.85	0	3514885	3541070	10840	0
WGS9_S7	13638393	13501425	99.0	13357784	98.94	0	6762402	6803152	7788	0
