WGS69	 94.18	5494727	4855910	G	1763	                Mycobacterium
WGS6	 94.89	5670493	4974471	G	1763	                Mycobacterium
WGS70	 94.91	5585044	4904872	G	1763	                Mycobacterium
WGS71	 95.32	4737210	4156969	G	1763	                Mycobacterium
WGS72	 96.02	3884382	3390404	G	1763	                Mycobacterium
WGS73	 94.70	5097438	4485372	G	1763	                Mycobacterium
WGS74	 95.60	4080084	3559480	G	1763	                Mycobacterium
WGS75	 95.72	3790498	3319648	G	1763	                Mycobacterium
WGS76	 95.01	4153171	3637272	G	1763	                Mycobacterium
WGS77	 95.84	3723874	3239639	G	1763	                Mycobacterium
WGS78	 96.65	3313163	2890451	G	1763	                Mycobacterium
WGS79	 96.55	3792038	3297883	G	1763	                Mycobacterium
WGS7	 96.11	7192018	6281344	G	1763	                Mycobacterium
WGS80	 95.63	4462237	3909040	G	1763	                Mycobacterium
WGS81	 95.43	4245213	3719793	G	1763	                Mycobacterium
WGS82	 95.58	4222779	3697132	G	1763	                Mycobacterium
WGS83	 97.01	4192399	3631174	G	1763	                Mycobacterium
WGS84	 95.55	3641323	3193220	G	1763	                Mycobacterium
WGS85	 96.71	3328566	2905235	G	1763	                Mycobacterium
WGS86	 50.28	2161689	1888089	G	1763	                Mycobacterium
WGS87	 96.74	3450178	3004390	G	1763	                Mycobacterium
WGS88	 97.08	3128345	2715880	G	1763	                Mycobacterium
WGS89	 97.21	2946234	2552176	G	1763	                Mycobacterium
WGS8	 96.19	8060281	7038329	G	1763	                Mycobacterium
WGS90	 82.31	2735146	2383948	G	1763	                Mycobacterium
WGS91	 97.23	2877279	2499339	G	1763	                Mycobacterium
WGS92	 96.48	2894181	2512663	G	1763	                Mycobacterium
WGS93	 95.14	3440234	2980033	G	1763	                Mycobacterium
WGS94	 40.00	1833089	1602712	G	1763	                Mycobacterium
WGS95	 93.52	3030332	2630373	G	1763	                Mycobacterium
WGS96	 97.23	2868727	2495712	G	1763	                Mycobacterium
WGS97	 95.51	3061928	2662301	G	1763	                Mycobacterium
WGS98	 94.57	2717145	2372428	G	1763	                Mycobacterium
WGS99	 95.77	3529321	3068154	G	1763	                Mycobacterium
WGS9	 96.23	6921486	6038437	G	1763	                Mycobacterium
